1,203.0
2,292.0
3,1773.0
4,625.0
5,263.0
6,112.0
7,108.0
8,112.0
9,551.0
10,23.0
11,97.0
12,160.0
13,250.0
14,486.0
15,81.0
16,1103.0
17,1206.0
18,50.0
19,771.0
20,189.0
21,2870.0
22,98.0
23,527.0
24,10424.0
25,228.0
26,625.0
27,308.0
28,43.0
29,184.0
30,249.0
31,1864.0
32,674.0
33,15.0
34,185.0
35,306.0
36,756.0
37,1454.0
38,1248.0
39,77.0
40,391.0
41,188.0
42,321.0
43,320.0
44,24.0
45,1052.0
46,80.0
47,150.0
48,192.0
49,312.0
50,746.0
51,341.0
52,607.0
53,1010.0
54,764.0
55,27.0
56,60.0
57,372.0
58,115.0
59,858.0
60,93.0
61,760.0
62,82.0
63,442.0
64,248.0
65,95.0
66,545.0
67,1019.0
68,74.0
69,992.0
70,89.0
71,79.0
72,704.0
73,26.0
74,319.0
75,348.0
76,78.0
77,1186.0
78,1398.0
79,375.0
80,45.0
81,874.0
82,66.0
83,10833.0
84,2910.0
85,203.0
86,1370.0
87,50.0
88,1063.0
89,247.0
90,176.0
91,2192.0
92,770.0
93,700.0
94,813.0
95,173.0
96,1160.0
97,89.0
98,1066.0
99,221.0
100,244.0
101,64.0
102,23.0
103,46.0
104,709.0
105,365.0
106,968.0
107,1968.0
108,889.0
109,32.0
110,300.0
111,126.0
112,1610.0
113,2.0
114,321.0
115,2788.0
116,1784.0
117,975.0
118,43.0
119,61.0
120,4477.0
121,1138.0
122,233.0
123,5120.0
124,88.0
125,101.0
126,48.0
127,139.0
128,384.0
129,585.0
130,520.0
131,761.0
132,19.0
133,48.0
134,48.0
total,99520.0
