# sku probability
100 0.0030701827381023
99 0.00313521882779048
98 0.00315628944879931
97 0.00338567012423273
96 0.00339254220809655
95 0.003531150710417
94 0.00360974477906249
93 0.00361468228661791
92 0.00366674036815591
91 0.0036778581593357
90 0.00372781979326516
89 0.00380264028612146
88 0.00382535044367862
87 0.00395842559809524
86 0.00408666402379655
85 0.00432074545554645
84 0.00443990650029532
83 0.00488733123261621
82 0.00501093300523623
81 0.00503463011843926
80 0.00509706951484116
79 0.00512603999273603
78 0.00549048823771507
77 0.00563079433116783
76 0.00571257827349279
75 0.00597279670162027
74 0.00597760063564142
73 0.00629064231937098
72 0.00640223152972253
71 0.00653835449845506
70 0.00680950023010918
69 0.00691093017588171
68 0.00703596822965708
67 0.00708551083730245
66 0.0072633342375488
65 0.00749803716710859
64 0.0075826981634469
63 0.00758524568160844
62 0.00769339507725179
61 0.00815737478412682
60 0.0082147687463904
59 0.00824519918276642
58 0.0083139690700176
57 0.00850091587942973
56 0.00850590110783813
55 0.0086817777640736
54 0.00870103680557613
53 0.00883108618382382
52 0.00891809808807554
51 0.00897410255862558
50 0.00906381412526397
49 0.00919072323513337
48 0.00934929836924575
47 0.00965964555384812
46 0.00976414478824318
45 0.00980059359675314
44 0.0098696019533986
43 0.00997515972603704
42 0.0100168703745596
41 0.0102525369598411
40 0.0103249938707796
39 0.0103341884784762
38 0.0103550357241111
37 0.0103970588775449
36 0.0104270460337807
35 0.0105010333619016
34 0.0105935215559532
33 0.0106397929494039
32 0.0108650810518669
31 0.0113281517594175
30 0.0118145906951474
29 0.012002935625459
28 0.0120787877288494
27 0.0127433120865825
26 0.012869313961713
25 0.0134912730644407
24 0.0135423828842371
23 0.0136599614946053
22 0.0137893197085251
21 0.0138166733879904
20 0.0138712954072186
19 0.0141391888861648
18 0.0144824022695839
17 0.0147131876178679
16 0.0158486260913397
15 0.016233774034778
14 0.0165732557272268
13 0.0168340106524461
12 0.0172976387721012
11 0.0176783556622105
10 0.0178986188359018
9 0.0190442912457985
8 0.0199705230562668
7 0.0202503691811986
6 0.0207770371426734
5 0.0210581458675533
4 0.0222857831873406
3 0.022765731521736
2 0.0236146245859528
1 0.0270643251584083
