# sku frequency
1 1
2 0.872536981718026
3 0.841171224055559
4 0.823437608619511
5 0.778077625963306
6 0.767690937093935
7 0.748231077725848
8 0.737891040673608
9 0.703667692962292
10 0.661336232517924
11 0.653197726480842
12 0.639130614595325
13 0.622000014924302
14 0.612365378786393
15 0.599821866599714
16 0.585591031683859
17 0.543637705050883
18 0.535110415087683
19 0.522429020616909
20 0.512530621991478
21 0.510512392499019
22 0.509501701144065
23 0.504722043304354
24 0.500377630144967
25 0.498489172941718
26 0.475508400316231
27 0.470852755869415
28 0.446299239243984
29 0.443496579175926
30 0.436537420607989
31 0.418563983883339
32 0.40145398003731
33 0.393129807860678
34 0.391420125717119
35 0.388002778581721
36 0.385269020112303
37 0.384161024399857
38 0.382608310515884
39 0.381838025444563
40 0.381498293799942
41 0.378821082729118
42 0.370113435895062
43 0.368572268757937
44 0.36467201364274
45 0.362122223236308
46 0.360775475874361
47 0.356914332698485
48 0.345447311711045
49 0.339588117617558
50 0.334898951746005
51 0.331584198242517
52 0.329514888543411
53 0.326299884890357
54 0.32149468921352
55 0.320783086711341
56 0.314284618517286
57 0.314100419266826
58 0.307192919880902
59 0.30465194068232
60 0.303527566207882
61 0.301406916166632
62 0.284263325696175
63 0.280267312678657
64 0.2801731844066
65 0.277045044471731
66 0.268373003761826
67 0.261802605305351
68 0.259972055038334
69 0.255352022835664
70 0.251604286833423
71 0.241585720692679
72 0.236556111864977
73 0.232433001102066
74 0.220866421041513
75 0.22068892043904
76 0.211074107337128
77 0.208052271697544
78 0.202868100555956
79 0.18940209898947
80 0.188331668534422
81 0.186024594700641
82 0.185149009846249
83 0.180582046809241
84 0.164050146246338
85 0.159647263704415
86 0.150998186722824
87 0.146259903948333
88 0.141342908839911
89 0.140503791018786
90 0.137739247937871
91 0.135893215064817
92 0.135482423695931
93 0.133558929160844
94 0.133376493148621
95 0.130472520181053
96 0.125351073349877
97 0.125097156659784
98 0.116621767966704
99 0.11584322939663
100 0.113440210318655
