# sku cum.frequency
1 0.0270643251584083
2 0.0506789497443611
3 0.073444681266097
4 0.0957304644534376
5 0.116788610320991
6 0.137565647463664
7 0.157816016644863
8 0.17778653970113
9 0.196830830946928
10 0.21472944978283
11 0.23240780544504
12 0.249705444217142
13 0.266539454869588
14 0.283112710596815
15 0.299346484631593
16 0.315195110722932
17 0.3299082983408
18 0.344390700610384
19 0.358529889496549
20 0.372401184903768
21 0.386217858291758
22 0.400007178000283
23 0.413667139494888
24 0.427209522379125
25 0.440700795443566
26 0.453570109405279
27 0.466313421491862
28 0.478392209220711
29 0.49039514484617
30 0.502209735541318
31 0.513537887300735
32 0.524402968352602
33 0.535042761302006
34 0.545636282857959
35 0.556137316219861
36 0.566564362253641
37 0.576961421131186
38 0.587316456855297
39 0.597650645333774
40 0.607975639204553
41 0.618228176164394
42 0.628245046538954
43 0.638220206264991
44 0.64808980821839
45 0.657890401815143
46 0.667654546603386
47 0.677314192157234
48 0.68666349052648
49 0.695854213761613
50 0.704918027886877
51 0.713892130445503
52 0.722810228533578
53 0.731641314717402
54 0.740342351522978
55 0.749024129287052
56 0.75753003039489
57 0.76603094627432
58 0.774344915344337
59 0.782590114527104
60 0.790804883273494
61 0.798962258057621
62 0.806655653134873
63 0.814240898816481
64 0.821823596979928
65 0.829321634147037
66 0.836584968384585
67 0.843670479221888
68 0.850706447451545
69 0.857617377627427
70 0.864426877857536
71 0.870965232355991
72 0.877367463885713
73 0.883658106205084
74 0.889635706840726
75 0.895608503542346
76 0.901321081815839
77 0.906951876147007
78 0.912442364384722
79 0.917568404377458
80 0.922665473892299
81 0.927700104010738
82 0.932711037015974
83 0.937598368248591
84 0.942038274748886
85 0.946359020204432
86 0.950445684228229
87 0.954404109826324
88 0.958229460270003
89 0.962032100556124
90 0.965759920349389
91 0.969437778508725
92 0.973104518876881
93 0.976719201163499
94 0.980328945942562
95 0.983860096652978
96 0.987252638861075
97 0.990638308985308
98 0.993794598434107
99 0.996929817261898
100 1
